skill_id,skill_name,skill_category,count_jobs_requiring_skill,count_companies_requiring_skill,pct_of_total_jobs,avg_description_length,avg_word_count,created_at
7,Scala,Programming Language,831,518,25.96,4823.153661464586,682.2785114045619,2026-01-08 11:38:51.613245+01:00
8,Tableau,BI Tool,339,240,10.59,5100.920353982301,711.693215339233,2026-01-08 11:38:51.613245+01:00
6,PyTorch,ML/DL Library,205,159,6.4,4749.209756097561,662.1756097560975,2026-01-08 11:38:51.613245+01:00
9,TensorFlow,ML/DL Library,192,145,6.0,4804.067708333333,667.859375,2026-01-08 11:38:51.613245+01:00
1,Airflow,DataOps/DevOps,190,129,5.94,5430.284210526316,784.1105263157895,2026-01-08 11:38:51.613245+01:00
2,Docker,DataOps/DevOps,154,109,4.81,4837.597402597403,674.9090909090909,2026-01-08 11:38:51.613245+01:00
5,Pandas,Data Analysis Library,126,97,3.94,4757.203125,658.0546875,2026-01-08 11:38:51.613245+01:00
3,Looker,BI Tool,115,62,3.59,4417.139130434783,627.6,2026-01-08 11:38:51.613245+01:00
4,NumPy,Data Analysis Library,66,55,2.06,4594.909090909091,629.030303030303,2026-01-08 11:38:51.613245+01:00
